"","iteration","n","type","err"
"417",28,5000,"Huber_distr_dc",0.0247323808561966
"418",28,10000,"ols_global",0.0535784568235616
"419",28,10000,"Huber_global",0.0235244174530033
"420",28,10000,"Huber_distr_dc",0.023703462605435
"421",29,500,"ols_global",0.0619305381380242
"422",29,500,"Huber_global",0.0237125726755308
"423",29,500,"Huber_distr_dc",0.0439743605095829
"424",29,1000,"ols_global",0.0650973056319555
"425",29,1000,"Huber_global",0.028141123672953
"426",29,1000,"Huber_distr_dc",0.0300534637595295
"427",29,2500,"ols_global",0.0636613881995968
"428",29,2500,"Huber_global",0.0215736526588971
"429",29,2500,"Huber_distr_dc",0.0219632949119206
"430",29,5000,"ols_global",0.0597296193975677
"431",29,5000,"Huber_global",0.0258717818815923
"432",29,5000,"Huber_distr_dc",0.0258376434209867
"433",29,10000,"ols_global",0.0547699475787634
"434",29,10000,"Huber_global",0.0256516022659074
"435",29,10000,"Huber_distr_dc",0.0256473146080319
"436",30,500,"ols_global",0.0481947964571386
"437",30,500,"Huber_global",0.0218812222761562
"438",30,500,"Huber_distr_dc",0.0640119848648576
"439",30,1000,"ols_global",0.0527339421496622
"440",30,1000,"Huber_global",0.0266713717725547
"441",30,1000,"Huber_distr_dc",0.0289219167671985
"442",30,2500,"ols_global",0.0554478490076838
"443",30,2500,"Huber_global",0.0237594002146938
"444",30,2500,"Huber_distr_dc",0.0237868279047262
"445",30,5000,"ols_global",0.0615715955702362
"446",30,5000,"Huber_global",0.0224115393068165
"447",30,5000,"Huber_distr_dc",0.0222111363582729
"448",30,10000,"ols_global",0.0682825949103999
"449",30,10000,"Huber_global",0.0305349005668795
"450",30,10000,"Huber_distr_dc",0.0305171328379205
"451",31,500,"ols_global",0.0674634007256188
"452",31,500,"Huber_global",0.024137128831245
"453",31,500,"Huber_distr_dc",0.0536765569742633
"454",31,1000,"ols_global",0.060321527426904
"455",31,1000,"Huber_global",0.0239947895106072
"456",31,1000,"Huber_distr_dc",0.0341555350622623
"457",31,2500,"ols_global",0.0651658540726318
"458",31,2500,"Huber_global",0.0263270342319958
"459",31,2500,"Huber_distr_dc",0.0263764648136764
"460",31,5000,"ols_global",0.051387572486934
"461",31,5000,"Huber_global",0.018950520189262
"462",31,5000,"Huber_distr_dc",0.0189778769248881
"463",31,10000,"ols_global",0.0546960209688294
"464",31,10000,"Huber_global",0.024189714389125
"465",31,10000,"Huber_distr_dc",0.0241677932795713
"466",32,500,"ols_global",0.0586386693122945
"467",32,500,"Huber_global",0.0249381566501446
"468",32,500,"Huber_distr_dc",0.0531064574230286
"469",32,1000,"ols_global",0.052268454650398
"470",32,1000,"Huber_global",0.02203645047361
"471",32,1000,"Huber_distr_dc",0.0279829510821362
"472",32,2500,"ols_global",0.0586024052513521
"473",32,2500,"Huber_global",0.0228972369616871
"474",32,2500,"Huber_distr_dc",0.0228391154508906
"475",32,5000,"ols_global",0.0610021840956185
"476",32,5000,"Huber_global",0.0203925477342399
"477",32,5000,"Huber_distr_dc",0.0203839603045375
"478",32,10000,"ols_global",0.0560535921182771
