"","iteration","proportion","scale","type","err"
"227",5,0.02,1,"Huber_global",0.0392273277449724
"228",5,0.02,1,"Huber_distr_dc",0.0392058338617175
"229",5,0.02,10,"ols_global",0.309819838218187
"230",5,0.02,10,"Huber_global",0.0470849758484541
"231",5,0.02,10,"Huber_distr_dc",0.0473700591248411
"232",5,0.02,100,"ols_global",1.90410683009496
"233",5,0.02,100,"Huber_global",0.044081721609371
"234",5,0.02,100,"Huber_distr_dc",0.0445494492264896
"235",5,0.04,1,"ols_global",0.557440479907346
"236",5,0.04,1,"Huber_global",0.0547566373587541
"237",5,0.04,1,"Huber_distr_dc",0.0545829898667161
"238",5,0.04,10,"ols_global",0.430666326398466
"239",5,0.04,10,"Huber_global",0.0584045828966509
"240",5,0.04,10,"Huber_distr_dc",0.0571472164047007
"241",5,0.04,100,"ols_global",4.17181624495203
"242",5,0.04,100,"Huber_global",0.0757773177478585
"243",5,0.04,100,"Huber_distr_dc",0.0749625213755406
"244",5,0.06,1,"ols_global",0.200607758736228
"245",5,0.06,1,"Huber_global",0.0835977225228383
"246",5,0.06,1,"Huber_distr_dc",0.0838609789748208
"247",5,0.06,10,"ols_global",0.652157578972159
"248",5,0.06,10,"Huber_global",0.0987721681817695
"249",5,0.06,10,"Huber_distr_dc",0.095678559651897
"250",5,0.06,100,"ols_global",6.01203213978922
"251",5,0.06,100,"Huber_global",0.104712359134408
"252",5,0.06,100,"Huber_distr_dc",0.103351632780456
"253",5,0.08,1,"ols_global",0.221027565488489
"254",5,0.08,1,"Huber_global",0.111306684425344
"255",5,0.08,1,"Huber_distr_dc",0.111127433125254
"256",5,0.08,10,"ols_global",0.945633320697751
"257",5,0.08,10,"Huber_global",0.137474910312506
"258",5,0.08,10,"Huber_distr_dc",0.132785672474824
"259",5,0.08,100,"ols_global",7.88170771956837
"260",5,0.08,100,"Huber_global",0.12087086718318
"261",5,0.08,100,"Huber_distr_dc",0.117697171763164
"262",5,0.1,1,"ols_global",0.244923902971044
"263",5,0.1,1,"Huber_global",0.139225918029687
"264",5,0.1,1,"Huber_distr_dc",0.139193785550919
"265",5,0.1,10,"ols_global",1.05290345869113
"266",5,0.1,10,"Huber_global",0.169649287457057
"267",5,0.1,10,"Huber_distr_dc",0.164765919666558
"268",5,0.1,100,"ols_global",9.98112101796169
"269",5,0.1,100,"Huber_global",0.159188928418997
"270",5,0.1,100,"Huber_distr_dc",0.158286083790809
"271",6,0,1,"ols_global",0.228805263962925
"272",6,0,1,"Huber_global",0.0310749112773284
"273",6,0,1,"Huber_distr_dc",0.0316233117852757
"274",6,0,10,"ols_global",0.148990061367366
"275",6,0,10,"Huber_global",0.0296256788598275
"276",6,0,10,"Huber_distr_dc",0.0293820749887576
"277",6,0,100,"ols_global",0.157746634753579
"278",6,0,100,"Huber_global",0.0328600881701236
"279",6,0,100,"Huber_distr_dc",0.0326807999482202
"280",6,0.02,1,"ols_global",0.223389877895404
"281",6,0.02,1,"Huber_global",0.0457625358790357
"282",6,0.02,1,"Huber_distr_dc",0.0454254950044758
"283",6,0.02,10,"ols_global",0.297231908060109
"284",6,0.02,10,"Huber_global",0.0421719077162126
"285",6,0.02,10,"Huber_distr_dc",0.0419241072691263
"286",6,0.02,100,"ols_global",2.07049739273866
"287",6,0.02,100,"Huber_global",0.0421034993393467
"288",6,0.02,100,"Huber_distr_dc",0.0410222855061735
"289",6,0.04,1,"ols_global",0.232860470232033
"290",6,0.04,1,"Huber_global",0.0607345268820702
"291",6,0.04,1,"Huber_distr_dc",0.0604020641345976
"292",6,0.04,10,"ols_global",0.743927055673773
"293",6,0.04,10,"Huber_global",0.0678757239235111
"294",6,0.04,10,"Huber_distr_dc",0.0688596004989305
"295",6,0.04,100,"ols_global",3.98213332408366
"296",6,0.04,100,"Huber_global",0.0637098957713656
"297",6,0.04,100,"Huber_distr_dc",0.0618295114257574
"298",6,0.06,1,"ols_global",0.358272511399681
"299",6,0.06,1,"Huber_global",0.0847458188727998
"300",6,0.06,1,"Huber_distr_dc",0.0846446380036988
"301",6,0.06,10,"ols_global",0.608728016449747
"302",6,0.06,10,"Huber_global",0.0941442397222961
"303",6,0.06,10,"Huber_distr_dc",0.0931812588065468
"304",6,0.06,100,"ols_global",6.15325761940705
"305",6,0.06,100,"Huber_global",0.106809761076879
"306",6,0.06,100,"Huber_distr_dc",0.103965571942069
"307",6,0.08,1,"ols_global",0.274516027764123
"308",6,0.08,1,"Huber_global",0.105405582853941
"309",6,0.08,1,"Huber_distr_dc",0.105240736397762
"310",6,0.08,10,"ols_global",0.885632721397313
"311",6,0.08,10,"Huber_global",0.134951699308911
"312",6,0.08,10,"Huber_distr_dc",0.132722935537719
"313",6,0.08,100,"ols_global",7.82989652934734
"314",6,0.08,100,"Huber_global",0.134581199541829
"315",6,0.08,100,"Huber_distr_dc",0.134091453660837
"316",6,0.1,1,"ols_global",0.203408553060759
"317",6,0.1,1,"Huber_global",0.130075246121698
"318",6,0.1,1,"Huber_distr_dc",0.129840084239994
"319",6,0.1,10,"ols_global",0.958682220246495
"320",6,0.1,10,"Huber_global",0.160925355610877
"321",6,0.1,10,"Huber_distr_dc",0.160250683855144
"322",6,0.1,100,"ols_global",10.039318264672
"323",6,0.1,100,"Huber_global",0.171279572425611
"324",6,0.1,100,"Huber_distr_dc",0.164060317541227
"325",7,0,1,"ols_global",0.540260704918903
"326",7,0,1,"Huber_global",0.0366940388189465
"327",7,0,1,"Huber_distr_dc",0.0366068775787955
"328",7,0,10,"ols_global",0.18175672179204
"329",7,0,10,"Huber_global",0.0317118357039895
"330",7,0,10,"Huber_distr_dc",0.0325592751628568
"331",7,0,100,"ols_global",0.308853099839307
"332",7,0,100,"Huber_global",0.0322033103935637
"333",7,0,100,"Huber_distr_dc",0.0330615370582611
"334",7,0.02,1,"ols_global",0.199685440465824
"335",7,0.02,1,"Huber_global",0.0382360347137512
"336",7,0.02,1,"Huber_distr_dc",0.0386653408255296
"337",7,0.02,10,"ols_global",0.259262418865386
"338",7,0.02,10,"Huber_global",0.0436536132244864
"339",7,0.02,10,"Huber_distr_dc",0.0435935445150501
"340",7,0.02,100,"ols_global",2.02002766222274
"341",7,0.02,100,"Huber_global",0.0416411775657101
"342",7,0.02,100,"Huber_distr_dc",0.0415203089675341
"343",7,0.04,1,"ols_global",0.190387065035268
"344",7,0.04,1,"Huber_global",0.0586590564120752
"345",7,0.04,1,"Huber_distr_dc",0.0589905823225882
"346",7,0.04,10,"ols_global",0.606953624424364
"347",7,0.04,10,"Huber_global",0.0686559335407721
"348",7,0.04,10,"Huber_distr_dc",0.069567214784804
"349",7,0.04,100,"ols_global",4.07329184613772
"350",7,0.04,100,"Huber_global",0.0743064568799488
"351",7,0.04,100,"Huber_distr_dc",0.0745886229157003
"352",7,0.06,1,"ols_global",0.395243643166716
"353",7,0.06,1,"Huber_global",0.0778815460657799
"354",7,0.06,1,"Huber_distr_dc",0.0779394543944503
"355",7,0.06,10,"ols_global",0.607622460151685
"356",7,0.06,10,"Huber_global",0.0978687255318344
